feature_call,num_cells,pct_cells,median_umis,stddev_umis
1.CRko.sg_Neg_Control_Human_GA_0491.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0493.Neg_Control_Human,1.0,0.020374898125509373,1265.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0491.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0494.Neg_Control_Human,1.0,0.020374898125509373,375.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0491.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0496.Neg_Control_Human,2.0,0.040749796251018745,764.0,366.0
1.CRko.sg_Neg_Control_Human_GA_0491.Neg_Control_Human|4.CRko.sg_hTNFRSF1A_3.TNFRSF1A,1.0,0.020374898125509373,201.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0492.Neg_Control_Human,74.0,1.5077424612876935,881.0,782.812937516007
1.CRko.sg_Neg_Control_Human_GA_0492.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0493.Neg_Control_Human,1.0,0.020374898125509373,1747.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0493.Neg_Control_Human,55.0,1.1206193969030154,803.0,1145.8012150730203
1.CRko.sg_Neg_Control_Human_GA_0493.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0494.Neg_Control_Human,1.0,0.020374898125509373,696.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0493.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0497.Neg_Control_Human,1.0,0.020374898125509373,942.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0493.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0498.Neg_Control_Human,1.0,0.020374898125509373,1489.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0494.Neg_Control_Human,60.0,1.2224938875305624,362.0,384.3315969171529
1.CRko.sg_Neg_Control_Human_GA_0495.Neg_Control_Human,52.0,1.0594947025264874,634.0,1001.1594290086368
1.CRko.sg_Neg_Control_Human_GA_0495.Neg_Control_Human|4.CRko.sg_hTNFRSF1A_2.TNFRSF1A,1.0,0.020374898125509373,49.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0495.Neg_Control_Human|4.CRko.sg_hTNFRSF1A_8.TNFRSF1A,1.0,0.020374898125509373,1456.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0496.Neg_Control_Human,57.0,1.1613691931540342,1084.0,852.391632904075
1.CRko.sg_Neg_Control_Human_GA_0497.Neg_Control_Human,48.0,0.9779951100244498,303.5,507.8937815291424
1.CRko.sg_Neg_Control_Human_GA_0497.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0500.Neg_Control_Human,1.0,0.020374898125509373,556.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0497.Neg_Control_Human|4.CRko.sg_hTNFRSF1A_6.TNFRSF1A,1.0,0.020374898125509373,652.0,0.0
